,Filtered_Text
186,"['butter', 'sugar', 'eggs', 'flour', 'powder', 'salt', 'almond', 'extract', 'raisins', 'cherries', 'fruit', 'peel', 'pineapple', 'juice']"
187,"['flour', 'powder', 'salt', 'butter', 'package', 'cream', 'cheese', 'sugar', 'eggs', 'vanilla', 'extract', 'almond', 'maraschino', 'cherries']"
188,"['egg', 'confectioners', 'sugar', 'cream', 'wine', 'almond', 'extract', 'macaroon', 'crumbs', 'maraschino', 'cherries', 'almonds', 'garnish']"
189,"['cherries', 'sugar', 'flour', 'water', 'inch', 'pie', 'shell', 'butter']"
190,"['dates', 'cherries', 'walnuts', 'seeds', 'soda', 'sea', 'salt', 'coconut', 'oil', 'egg', 'syrup', 'vanilla', 'extract']"
191,"['package', 'cream', 'cheese', 'butter', 'sugar', 'vanilla', 'extract', 'eggs', 'flour', 'powder', 'salt', 'cherries', 'pecans']"
192,"['jar', 'maraschino', 'cherries', '¼', 'flour', 'powder', 'salt', 'shortening', '⅓', 'sugar', 'egg', 'whites', 'room', 'temperature', 'milk', 'pecans', 'butter', 'confectioners', 'food', 'coloring', 'vanilla', 'extract', 'stems']"
193,"['cherries', 'juice', 'pineapple', 'package', 'cream', 'cheese', 'fluid', 'beverage', 'pecans']"
194,"['inch', 'cracker', 'crust', 'package', 'cream', 'cheese', 'sugar']"
195,"['inch', 'crust', 'footnote', 'link', 'almonds', 'sugar', 'oats', 'flour', 'salt', 'butter', 'pieces', 'cherries', 'lemon', 'cornstarch']"
196,"['butter', 'sugar', 'cocoa', 'powder', 'eggs', 'vanilla', 'extract', 'flour', 'baking', 'salt']"
197,"['sugar', 'vinegar', 'maraschino', 'cherry', 'juice', 'pineapple', 'cornstarch', 'water']"
198,"['coconut', 'miniature', 'marshmallows', 'crackers', 'milk', 'walnuts', 'cherries']"
199,"['cherries', 'water', 'sugar']"
200,"['oil', 'chicken', 'pieces', 'salt', 'pepper', 'taste', 'flour', 'cherries', 'water', 'sugar', 'cornstarch', 'orange', 'peel', 'almonds']"
201,"['inch', 'pie', 'crust', 'pineapple', 'lemon', 'juice', 'container', 'maraschino', 'cherries', 'milk', 'walnuts']"
202,"['flour', 'sugar', 'milk', 'oil', 'powder', 'cherries', 'almond', 'extract']"
203,"['chocolate', 'sandwich', 'cookies', 'creme', 'filling', 'cheese', 'sugar', 'cocoa', 'vanilla', 'extract', 'eggs']"
204,"['butter', 'sugar', 'egg', 'flour', 'salt', 'powder', 'milk', 'vanilla', 'extract', 'almond', 'figs', 'water', 'lemon', 'juice']"
205,"['figs', 'baking', 'soda', 'water', 'sugar', 'lemon']"
206,"['figs', 'cheese', 'chevre', 'almonds', 'honey', 'vinegar']"
207,"['figs', 'cheese', 'pine', 'nuts', 'honey', 'vinegar']"
208,"['bananas', 'figs', 'milk', 'orange', 'juice']"
209,"['ripe', 'figs', 'sugar', 'gelatin', 'half', 'jars', 'lids', 'rings']"
210,"['oil', 'onion', 'figs', 'vinegar', 'sugar']"
211,"['brown', 'sugar', 'water', 'figs', 'diameter', 'round', 'cheese', 'almonds', 'vanilla', 'extract']"
212,"['figs', 'eggs', 'applesauce', 'sugar', 'flour', 'flax', 'seed', 'meal', 'cinnamon', 'pumpkin', 'pie', 'spice', 'baking', 'soda', 'powder', 'oats']"
213,"['skinless', 'boneless', 'chicken', 'thighs', 'salt', 'pepper', 'oil', 'figs', 'broth', 'vinegar', 'shallot', 'lengthwise', 'rosemary']"
214,"['figs', 'honey', 'water', 'butter', 'juice', 'cinnamon', 'vanilla', 'extract', 'cloves', 'salt', 'ginger', 'walnuts']"
215,"['sugar', 'figs', 'lemon', 'juice', 'pectin']"
216,"['cooking', 'spray', 'flour', 'powder', 'salt', 'ricotta', 'cheese', 'sugar', 'butter', 'eggs', 'room', 'temperature', 'almond', 'extract', 'figs', 'pieces', 'fig', 'slices', 'confectioners']"
217,"['butter', 'sugar', 'brown', 'egg', 'vanilla', 'extract', 'flour', 'powder', 'cinnamon', 'salt', 'figs', 'walnuts']"
218,"['goat', 'cheese', 'figs', 'leaves', 'basil', 'strips', 'pepper']"
219,"['flour', 'cinnamon', 'cloves', 'baking', 'soda', 'powder', 'salt', 'sugar', 'butter', 'eggs', 'beaten', 'buttermilk', 'figs', 'pecans', 'milk']"
220,"['blueberries', 'figs', 'sugar', 'water', 'lime', 'juice', 'balsamic', 'vinegar']"
221,"['romaine', 'lettuce', 'figs', 'ripe', 'firm', 'pear', 'pecans', 'cheese', 'onion', 'oil', 'vinegar', 'salt', 'pepper']"
222,"['prunes', 'currants', 'creme', 'cassis', 'liqueur', 'rosemary', 'thyme', 'coriander', 'salt', 'pepper', 'boneless', 'leg', 'lamb', 'almonds', 'mint', 'cloves', 'thirds', 'oil', 'vinegar', 'butter', 'honey', 'figs', 'basil', 'leaves']"
223,"['figs', 'sugar', 'bourbon', 'whiskey', 'vinegar', 'lemon', 'juice', 'salt']"
224,"['chicken', 'tenders', 'salt', 'pepper', 'taste', 'flour', 'oil', 'butter']"
225,"['wheat', 'pastry', 'flour', 'oats', 'powder', 'salt', 'canola', 'oil', 'egg', 'honey', 'sugar', 'figs']"
226,"['figs', 'lengthwise', 'vinegar', 'oil', 'cheese', 'inch', 'thick', 'bread', 'sea', 'salt', 'pepper']"
227,"['flour', 'salt', 'cinnamon', 'allspice', 'vanilla', 'extract', 'eggs', 'sugar', 'oil', 'buttermilk', 'baking', 'soda', 'water', 'figs', 'juice', 'pecans', 'corn', 'syrup', 'butter']"
228,"['figs', 'half', 'goat', 'cheese', 'slices', 'fat', 'cut', 'strips', 'honey']"
229,"['heads', 'lettuce', 'oranges', 'pith', 'segments', 'cheese', 'figs', 'cubes', 'vinaigrette', 'dressing']"
230,"['figs', 'sugar', 'water', 'lime', 'juice', 'cinnamon', 'ginger', 'pepper', 'jar']"
231,"['juice', 'strawberries', 'blueberries', 'watermelon', 'chunks', 'banana', 'figs']"
232,"['brown', 'sugar', 'water', 'salt', 'figs', 'vanilla', 'extract', 'package', 'cream', 'cheese']"
